Version V1.0

' SexualVampireFeedAnimations_VampFeed1
b SexualVampireFeedAnimations_VampFeed1_A1_S1 VampFeed1_A1_S1.hkx
b SexualVampireFeedAnimations_VampFeed1_A1_S2 VampFeed1_A1_S2.hkx
b SexualVampireFeedAnimations_VampFeed1_A1_S3 VampFeed1_A1_S3.hkx
b SexualVampireFeedAnimations_VampFeed1_A1_S4 VampFeed1_A1_S4.hkx
b SexualVampireFeedAnimations_VampFeed1_A1_S5 VampFeed1_A1_S5.hkx
b SexualVampireFeedAnimations_VampFeed1_A2_S1 VampFeed1_A2_S1.hkx
b SexualVampireFeedAnimations_VampFeed1_A2_S2 VampFeed1_A2_S2.hkx
b SexualVampireFeedAnimations_VampFeed1_A2_S3 VampFeed1_A2_S3.hkx
b SexualVampireFeedAnimations_VampFeed1_A2_S4 VampFeed1_A2_S4.hkx
b SexualVampireFeedAnimations_VampFeed1_A2_S5 VampFeed1_A2_S5.hkx

' SexualVampireFeedAnimations_VampFeed2
b SexualVampireFeedAnimations_VampFeed2_A1_S1 VampFeed2_A1_s1.hkx
b SexualVampireFeedAnimations_VampFeed2_A1_S2 VampFeed2_A1_s2.hkx
b SexualVampireFeedAnimations_VampFeed2_A1_S3 VampFeed2_A1_s3.hkx
b SexualVampireFeedAnimations_VampFeed2_A1_S4 VampFeed2_A1_s4.hkx
b SexualVampireFeedAnimations_VampFeed2_A1_S5 VampFeed2_A1_s5.hkx
b SexualVampireFeedAnimations_VampFeed2_A2_S1 VampFeed2_A2_s1.hkx
b SexualVampireFeedAnimations_VampFeed2_A2_S2 VampFeed2_A2_s2.hkx
b SexualVampireFeedAnimations_VampFeed2_A2_S3 VampFeed2_A2_s3.hkx
b SexualVampireFeedAnimations_VampFeed2_A2_S4 VampFeed2_A2_s4.hkx
b SexualVampireFeedAnimations_VampFeed2_A2_S5 VampFeed2_A2_s5.hkx

' SexualVampireFeedAnimations_VampFeed3
b SexualVampireFeedAnimations_VampFeed3_A1_S1 VampFeed3_A1_s1.hkx
b SexualVampireFeedAnimations_VampFeed3_A1_S2 VampFeed3_A1_s2.hkx
b SexualVampireFeedAnimations_VampFeed3_A1_S3 VampFeed3_A1_s3.hkx
b SexualVampireFeedAnimations_VampFeed3_A1_S4 VampFeed3_A1_s4.hkx
b SexualVampireFeedAnimations_VampFeed3_A1_S5 VampFeed3_A1_s5.hkx
b SexualVampireFeedAnimations_VampFeed3_A2_S1 VampFeed3_A2_s1.hkx
b SexualVampireFeedAnimations_VampFeed3_A2_S2 VampFeed3_A2_s2.hkx
b SexualVampireFeedAnimations_VampFeed3_A2_S3 VampFeed3_A2_s3.hkx
b SexualVampireFeedAnimations_VampFeed3_A2_S4 VampFeed3_A2_s4.hkx
b SexualVampireFeedAnimations_VampFeed3_A2_S5 VampFeed3_A2_s5.hkx

' SexualVampireFeedAnimations_VampFeed4
b SexualVampireFeedAnimations_VampFeed4_A1_S1 VampFeed4_A1_s1.hkx
b SexualVampireFeedAnimations_VampFeed4_A1_S2 VampFeed4_A1_s2.hkx
b SexualVampireFeedAnimations_VampFeed4_A1_S3 VampFeed4_A1_s3.hkx
b SexualVampireFeedAnimations_VampFeed4_A1_S4 VampFeed4_A1_s4.hkx
b SexualVampireFeedAnimations_VampFeed4_A1_S5 VampFeed4_A1_s5.hkx
b SexualVampireFeedAnimations_VampFeed4_A2_S1 VampFeed4_A2_s1.hkx
b SexualVampireFeedAnimations_VampFeed4_A2_S2 VampFeed4_A2_s2.hkx
b SexualVampireFeedAnimations_VampFeed4_A2_S3 VampFeed4_A2_s3.hkx
b SexualVampireFeedAnimations_VampFeed4_A2_S4 VampFeed4_A2_s4.hkx
b SexualVampireFeedAnimations_VampFeed4_A2_S5 VampFeed4_A2_s5.hkx

' SexualVampireFeedAnimations_VampFeed5
b SexualVampireFeedAnimations_VampFeed5_A1_S1 VampFeed5_a1_s1.hkx
b SexualVampireFeedAnimations_VampFeed5_A1_S2 VampFeed5_a1_s2.hkx
b SexualVampireFeedAnimations_VampFeed5_A1_S3 VampFeed5_a1_s3.hkx
b SexualVampireFeedAnimations_VampFeed5_A1_S4 VampFeed5_a1_s4.hkx
b SexualVampireFeedAnimations_VampFeed5_A1_S5 VampFeed5_a1_s5.hkx
b SexualVampireFeedAnimations_VampFeed5_A2_S1 VampFeed5_a2_s1.hkx
b SexualVampireFeedAnimations_VampFeed5_A2_S2 VampFeed5_a2_s2.hkx
b SexualVampireFeedAnimations_VampFeed5_A2_S3 VampFeed5_a2_s3.hkx
b SexualVampireFeedAnimations_VampFeed5_A2_S4 VampFeed5_a2_s4.hkx
b SexualVampireFeedAnimations_VampFeed5_A2_S5 VampFeed5_a2_s5.hkx

' SexualVampireFeedAnimations_VampFeed6
b SexualVampireFeedAnimations_VampFeed6_A1_S1 VampFeed6_A1_S1.hkx
b SexualVampireFeedAnimations_VampFeed6_A1_S2 VampFeed6_A1_S2.hkx
b SexualVampireFeedAnimations_VampFeed6_A1_S3 VampFeed6_A1_S3.hkx
b SexualVampireFeedAnimations_VampFeed6_A1_S4 VampFeed6_A1_S4.hkx
b SexualVampireFeedAnimations_VampFeed6_A1_S5 VampFeed6_A1_S5.hkx
b SexualVampireFeedAnimations_VampFeed6_A2_S1 VampFeed6_A2_S1.hkx
b SexualVampireFeedAnimations_VampFeed6_A2_S2 VampFeed6_A2_S2.hkx
b SexualVampireFeedAnimations_VampFeed6_A2_S3 VampFeed6_A2_S3.hkx
b SexualVampireFeedAnimations_VampFeed6_A2_S4 VampFeed6_A2_S4.hkx
b SexualVampireFeedAnimations_VampFeed6_A2_S5 VampFeed6_A2_S5.hkx

' SexualVampireFeedAnimations_VampFeed7
b SexualVampireFeedAnimations_VampFeed7_A1_S1 VampFeed7_A1_s1.hkx
b SexualVampireFeedAnimations_VampFeed7_A1_S2 VampFeed7_a1_s2.hkx
b SexualVampireFeedAnimations_VampFeed7_A1_S3 VampFeed7_a1_s3.hkx
b SexualVampireFeedAnimations_VampFeed7_A1_S4 VampFeed7_a1_s4.hkx
b SexualVampireFeedAnimations_VampFeed7_A1_S5 VampFeed7_a1_s5.hkx
b SexualVampireFeedAnimations_VampFeed7_A2_S1 VampFeed7_A2_s1.hkx
b SexualVampireFeedAnimations_VampFeed7_A2_S2 VampFeed7_a2_s2.hkx
b SexualVampireFeedAnimations_VampFeed7_A2_S3 VampFeed7_a2_s3.hkx
b SexualVampireFeedAnimations_VampFeed7_A2_S4 VampFeed7_a2_s4.hkx
b SexualVampireFeedAnimations_VampFeed7_A2_S5 VampFeed7_a2_s5.hkx

' SexualVampireFeedAnimations_VampFeed8
b SexualVampireFeedAnimations_VampFeed8_A1_S1 VampFeed8_a1_s1.hkx
b SexualVampireFeedAnimations_VampFeed8_A1_S2 VampFeed8_a1_s2.hkx
b SexualVampireFeedAnimations_VampFeed8_A1_S3 VampFeed8_a1_s3.hkx
b SexualVampireFeedAnimations_VampFeed8_A1_S4 VampFeed8_a1_s4.hkx
b SexualVampireFeedAnimations_VampFeed8_A1_S5 VampFeed8_a1_s5.hkx
b SexualVampireFeedAnimations_VampFeed8_A1_S6 VampFeed8_a1_s6.hkx
b SexualVampireFeedAnimations_VampFeed8_A2_S1 VampFeed8_a2_s1.hkx
b SexualVampireFeedAnimations_VampFeed8_A2_S2 VampFeed8_a2_s2.hkx
b SexualVampireFeedAnimations_VampFeed8_A2_S3 VampFeed8_a2_s3.hkx
b SexualVampireFeedAnimations_VampFeed8_A2_S4 VampFeed8_a2_s4.hkx
b SexualVampireFeedAnimations_VampFeed8_A2_S5 VampFeed8_a2_s5.hkx
b SexualVampireFeedAnimations_VampFeed8_A2_S6 VampFeed8_a2_s6.hkx

' SexualVampireFeedAnimations_VampFeed9
b SexualVampireFeedAnimations_VampFeed9_A1_S1 VampFeed9_A1_s1.hkx
b SexualVampireFeedAnimations_VampFeed9_A1_S2 VampFeed9_A1_s2.hkx
b SexualVampireFeedAnimations_VampFeed9_A1_S3 VampFeed9_A1_S3.hkx
b SexualVampireFeedAnimations_VampFeed9_A1_S4 VampFeed9_A1_S4.hkx
b SexualVampireFeedAnimations_VampFeed9_A1_S5 VampFeed9_A1_S5.hkx
b SexualVampireFeedAnimations_VampFeed9_A2_S1 VampFeed9_A2_s1.hkx
b SexualVampireFeedAnimations_VampFeed9_A2_S2 VampFeed9_A2_s2.hkx
b SexualVampireFeedAnimations_VampFeed9_A2_S3 VampFeed9_A2_S3.hkx
b SexualVampireFeedAnimations_VampFeed9_A2_S4 VampFeed9_A2_S4.hkx
b SexualVampireFeedAnimations_VampFeed9_A2_S5 VampFeed9_A2_S5.hkx

' SexualVampireFeedAnimations_VampFeed10
b SexualVampireFeedAnimations_VampFeed10_A1_S1 VampFeed10_A1_s1.hkx
b SexualVampireFeedAnimations_VampFeed10_A1_S2 VampFeed10_A1_S2.hkx
b SexualVampireFeedAnimations_VampFeed10_A1_S3 VampFeed10_A1_S3.hkx
